Index name;OBX ENERGY GR
Frequency;Månedlig data
Dato;OENG Index
31.12.1999;149.695
31.01.2000;154.564
29.02.2000;155.128
31.03.2000;165.325
28.04.2000;155.681
31.05.2000;176.655
30.06.2000;170.487
31.07.2000;174.323
31.08.2000;204.661
29.09.2000;191.961
31.10.2000;181.564
30.11.2000;163.21
29.12.2000;162.543
31.01.2001;167.52
28.02.2001;180.63
30.03.2001;167.54
30.04.2001;181.24
31.05.2001;180.74
29.06.2001;176.77
31.07.2001;167.5
31.08.2001;156.27
28.09.2001;142.8
31.10.2001;147.59
30.11.2001;138.66
31.12.2001;149.36
31.01.2002;145.73
28.02.2002;151.36
29.03.2002;166.85
30.04.2002;166.36
31.05.2002;164.15
28.06.2002;150.33
31.07.2002;138.08
30.08.2002;137.01
30.09.2002;118.31
31.10.2002;117.11
29.11.2002;118.4
31.12.2002;125.61
31.01.2003;117.53
28.02.2003;116.26
31.03.2003;117.96
30.04.2003;122.75
30.05.2003;133.156
30.06.2003;148.165
31.07.2003;157.114
29.08.2003;163.956
30.09.2003;152.067
31.10.2003;164.022
28.11.2003;165.146
31.12.2003;179.138
30.01.2004;190.989
27.02.2004;212.448
31.03.2004;208.008
30.04.2004;203.292
31.05.2004;209.696
30.06.2004;224.806
30.07.2004;223.729
31.08.2004;223.441
30.09.2004;249.31
29.10.2004;238.868
30.11.2004;258.532
31.12.2004;252.023
31.01.2005;262.445
28.02.2005;300.81
31.03.2005;292.564
29.04.2005;291.839
31.05.2005;312.81
30.06.2005;364.103
29.07.2005;390.954
31.08.2005;434.224
30.09.2005;455.934
31.10.2005;403.004
30.11.2005;414.977
30.12.2005;452.461
31.01.2006;517.874
28.02.2006;503.261
31.03.2006;558.018
28.04.2006;596.779
31.05.2006;548.674
30.06.2006;545.869
31.07.2006;561.872
31.08.2006;544.956
29.09.2006;506.845
31.10.2006;544.03
30.11.2006;560.387
29.12.2006;595.26
31.01.2007;596.01
28.02.2007;567.425
30.03.2007;604.794
30.04.2007;618.124
31.05.2007;643.718
29.06.2007;684.353
31.07.2007;667.654
31.08.2007;634.962
28.09.2007;683.626
31.10.2007;684.585
30.11.2007;657.624
31.12.2007;639.957
31.01.2008;525.228
29.02.2008;596.392
31.03.2008;570.38
30.04.2008;664.395
30.05.2008;731.222
30.06.2008;689.266
31.07.2008;629.425
29.08.2008;624.282
30.09.2008;490.16
31.10.2008;411.371
28.11.2008;376.578
31.12.2008;361.633
30.01.2009;373.633
27.02.2009;363.518
31.03.2009;373.983
30.04.2009;398.723
29.05.2009;458.945
30.06.2009;447.089
31.07.2009;459.493
31.08.2009;462.532
30.09.2009;471.077
30.10.2009;488.679
30.11.2009;504.076
31.12.2009;531.779
29.01.2010;509.079
26.02.2010;502.342
31.03.2010;530.819
30.04.2010;551.43
31.05.2010;499.52
30.06.2010;482.34
30.07.2010;486.64
31.08.2010;472.64
30.09.2010;506.85
29.10.2010;532.2
30.11.2010;528.56
31.12.2010;592.94
31.01.2011;593.69
28.02.2011;622.86
31.03.2011;637.32
29.04.2011;628.77
31.05.2011;615.46
30.06.2011;588.98
29.07.2011;580.03
31.08.2011;544.56
30.09.2011;519.65
31.10.2011;581.76
30.11.2011;601.71
30.12.2011;614.29
31.01.2012;615.61
29.02.2012;672.34
30.03.2012;655.44
30.04.2012;652.82
31.05.2012;600.41
29.06.2012;614.6
31.07.2012;640.68
31.08.2012;659.41
28.09.2012;660.48
31.10.2012;638.23
30.11.2012;626.52
31.12.2012;631.24
31.01.2013;661.42
28.02.2013;652.42
29.03.2013;646.38
30.04.2013;629.78
31.05.2013;644.79
28.06.2013;606.67
31.07.2013;630.87
30.08.2013;657.79
30.09.2013;660.79
31.10.2013;676.28
29.11.2013;675.02
31.12.2013;694.45
31.01.2014;680.64
28.02.2014;717.94
31.03.2014;746.19
30.04.2014;780.3
30.05.2014;817.04
30.06.2014;844.94
31.07.2014;799.91
29.08.2014;777.94
30.09.2014;757.56
31.10.2014;651.61
28.11.2014;572.16
31.12.2014;568.01
30.01.2015;548.35
27.02.2015;609.88
31.03.2015;591.32
30.04.2015;663.89
29.05.2015;626.15
30.06.2015;601.7
31.07.2015;580.88
31.08.2015;534.09
30.09.2015;527.4
30.10.2015;568.86
30.11.2015;576.86
31.12.2015;525.25
29.01.2016;486.89
29.02.2016;512.61
31.03.2016;526.44
29.04.2016;578.99
31.05.2016;551.05
30.06.2016;589.33
29.07.2016;558.38
31.08.2016;561.24
30.09.2016;567.73
31.10.2016;581.18
30.11.2016;626.73
30.12.2016;692.27
31.01.2017;673.27
28.02.2017;662.61
31.03.2017;651.46
28.04.2017;640.02
31.05.2017;645.91
30.06.2017;607.92
31.07.2017;651.53
31.08.2017;651.7
29.09.2017;710.53
31.10.2017;739.3
30.11.2017;747.06
29.12.2017;779.73
31.01.2018;802.21
28.02.2018;808.82
30.03.2018;813.16
30.04.2018;918.38
31.05.2018;982.71
29.06.2018;986.23
31.07.2018;980.37
31.08.2018;981.26
28.09.2018;1053.2
31.10.2018;977.78
30.11.2018;887.13
31.12.2018;798.82
31.01.2019;867.2
28.02.2019;882.71
29.03.2019;885.47
30.04.2019;894.8
31.05.2019;786.64
28.06.2019;792.88
31.07.2019;756.79
30.08.2019;740.76
30.09.2019;802.72
31.10.2019;799.25
29.11.2019;814.98
31.12.2019;853.13
31.01.2020;792.92
28.02.2020;673.18
31.03.2020;555.41
30.04.2020;621.79
29.05.2020;614.72
30.06.2020;609.7
31.07.2020;607.73
31.08.2020;634.37
30.09.2020;588.34
30.10.2020;527.39
30.11.2020;644.4
31.12.2020;687.35
29.01.2021;708.78
26.02.2021;734.09
31.03.2021;754.35
30.04.2021;752.09
31.05.2021;775.24
30.06.2021;799.67
30.07.2021;742.34
31.08.2021;771.36
30.09.2021;912.02
29.10.2021;909.78
30.11.2021;940.35
31.12.2021;946.68
31.01.2022;981.68
28.02.2022;1083.58
31.03.2022;1292.96
29.04.2022;1273.32
31.05.2022;1456.95
30.06.2022;1339.69
29.07.2022;1425.24
31.08.2022;1499.71
30.09.2022;1373.34
31.10.2022;1464.19
30.11.2022;1490.1
30.12.2022;1389.56
31.01.2023;1299.89
28.02.2023;1350.9
31.03.2023;1253.57
28.04.2023;1270.6
31.05.2023;1224.01
30.06.2023;1328.61
31.07.2023;1359.91
31.08.2023;1444.8
29.09.2023;1521.9
31.10.2023;1616.87
30.11.2023;1557.53
29.12.2023;1466.05
31.01.2024;1377.61
29.02.2024;1285.32
29.03.2024;1397.64
30.04.2024;1454.85
31.05.2024;1516.13
28.06.2024;1517.46
31.07.2024;1479.53
30.08.2024;1441.05
30.09.2024;1348.73
31.10.2024;1357.62
29.11.2024;1395.06
31.12.2024;1388.86
31.01.2025;1435.66
28.02.2025;1390.09
31.03.2025;1479.37
30.04.2025;1286.14
30.05.2025;1345.75
30.06.2025;1438.38
31.07.2025;1502.1
29.08.2025;1462.25
30.09.2025;1437.21
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
